"load_extension('/home/s062372/lib/libsqlitefunctions,so')"

operation;implementation;count;"avg dur (ms)";"stdev of avg dur (ms)";"avg dur (ms)";"stdev of avg dur (ms)";ops_per_sec;rows
access;partiallypersistent;258;0,0507392;0,0171202571943298;0,000196663565891473;6,6357586024534e-05;5084825,93340061;10
access;partiallypersistent;563;0,1288704;0,0273754334118912;0,00022889946714032;4,86242156516717e-05;4368730,13508145;10
access;partiallypersistent;1334;0,2584064;0,0689791301952184;0,000193707946026987;5,17084933997139e-05;5162410,83812166;10
access;partiallypersistent;3065;0,5377792;0,12164326079593;0,000175458140293638;3,96878501781175e-05;5699365,09258819;10
access;partiallypersistent;7257;1,1227136;0,0643441852595175;0,00015470767534794;8,86649927787206e-06;6463803,413444;10
access;partiallypersistent;17152;2,4953344;0,155777966791199;0,000145483582089552;9,08220422056899e-06;6873627,83921867;10
access;partiallypersistent;39839;6,4915968;0,175376621564246;0,000162945776751424;4,40213412897529e-06;6137010,85070472;10
access;partiallypersistent;92584;16,1804288;0,70108346935817;0,000174764849218007;7,5724041881769e-06;5721974,43865023;10
access;partiallypersistent;214613;39,3253632;0,690717857059968;0,00018323849533812;3,21843437750726e-06;5457368,54122685;10
access;partiallypersistent;499807;98,0990464;0,988456295106582;0,00019627385450784;1,9776759731388e-06;5094922,10517553;10
access;rollback_reorder_lazy;262;6,8803072;1,3900827648182;0,0262607145038168;0,00530565940770307;38079,6950461747;10
access;rollback_reorder_lazy;563;12,0780288;1,41789379707076;0,0214529818827709;0,00251846145128021;46613,5666111344;10
access;rollback_reorder_lazy;1328;28,8398336;2,15150949815835;0,0217167421686747;0,00162011257391442;46047,4224095385;10
access;rollback_reorder_lazy;3068;75,5926784;2,18165935432537;0,0246390737940026;0,000711101484460681;40585,9411908336;10
access;rollback_reorder_lazy;7254;195,4006016;2,78292929090495;0,0269369453542873;0,000383640652178791;37123,7342188408;10
access;rollback_reorder_lazy;17119;535,042688;7,16020074717362;0,0312543190606928;0,000418260456053135;31995,5778930297;10
access;rollback_reorder_lazy;39751;1368,806144;6,94342301311213;0,0344345084148826;0,000174672914218817;29040,6352822449;10
access;rollback_reorder_lazy;92447;8595,5263232;35,017544446274;0,0929778827133385;0,000378785081682198;10755,2459877272;10
access;rollback_reorder_lazy;214790;67344,175872;341,001855995278;0,313534968443596;0,00158760582892722;3189,43690703481;10
access;rollback_reorder_lazy;499953;496867,1447552;1193,37640049763;0,993827709315076;0,00238697717684986;1006,21062446445;10
insert;partiallypersistent;262;0,2854144;0,100536027182299;0,0010893679389313;0,000383725294588928;917963,494483811;10
insert;partiallypersistent;621;1,0722816;0,239676017554809;0,00172670144927536;0,00038595171908987;579138,912763215;10
insert;partiallypersistent;1387;3,0023168;0,880711900320644;0,00216461196827686;0,000634976135775519;461976,564231996;10
insert;partiallypersistent;3210;6,5194496;1,21076973637501;0,00203098118380062;0,000377186833761684;492372,853070296;10
insert;partiallypersistent;7382;19,2275456;0,935024456276614;0,00260465261446762;0,000126662754846466;383928,357449845;10
insert;partiallypersistent;17029;48,2142976;1,20604764380288;0,00283130527922955;7,08231630631796e-05;353193,987005216;10
insert;partiallypersistent;39603;139,1868672;1,53176301216929;0,0035145536247254;3,86779539976592e-05;284531,154387531;10
insert;partiallypersistent;92439;286,8731904;1,49564437196572;0,00310337834031091;1,61797982665945e-05;322229,48359555;10
insert;partiallypersistent;215283;947,689344;3,78225238007859;0,00440206307047003;1,75687461623935e-05;227166,213657458;10
